,Rank,School,State,Score,Year,8-Event,10-Event
0,1,El Camino Real High School,California,52872.3,2014,,
1,2,Granada Hills Charter High School,California,52489.1,2014,,
2,3,Marshall High School,California,52088,2014,,
3,4,Rockwall High School,Texas,51005.4,2014,,
4,5,Pearland High School,Texas,49025.4,2014,,
5,6,Friendswood High School,Texas,48580.2,2014,,
6,7,Edison High School,California,48261.6,2014,,
7,8,Highland Park High School,Texas,47214.3,2014,,
8,9,Rockwall-Heath High School,Texas,46711.2,2014,,
9,10,Beverly Hills High School,California,46473.8,2014,,
10,11,Clear Lake High School,Texas,46324.9,2014,,
11,12,Chaffey High School,California,46245.2,2014,,
12,13,Canyon Del Oro High School,Arizona,45873.9,2014,,
13,14,Boulder Creek High School,Arizona,45853.9,2014,,
14,15,Nimitz High School,Texas,45823.1,2014,,
15,16,South Pasadena High School,California,45581.7,2014,,
16,17,Centennial High School,Texas,45426.4,2014,,
17,18,Redondo Union High School,California,45393.8,2014,,
18,19,Campolindo High School,California,44930.6,2014,,
19,20,Oakdale High School,California,44924.5,2014,,
20,21,Franklin High School,California,44914.4,2014,,
21,22,William Howard Taft High School,California,44731.3,2014,,
22,23,Wakeland High School,Texas,44631.1,2014,,
23,24,Woodbridge High School,California,44441.7,2014,,
24,25,Whitney M. Young Magnet High School,Illinois,44424,2014,,
25,26,Coppell High School,Texas,44195.1,2014,,
26,27,Mountain View Mesa High School,Arizona,44156.4,2014,,
27,28,University High School,California,44145.3,2014,,
28,29,Acton-Boxborough Regional High School,Massachusetts,"43,930.2[1]",2014,,
29,30,Casa Grande High School,California,43915.3,2014,,
30,31,Valencia High School,California,43998.4,2014,,
31,32,Hamilton High School,California,43861.6,2014,,
32,33,Mark Keppel High School,California,43850.9,2014,,
33,34,Pius X High School,Nebraska,"43,833[2]",2014,,
34,35,Oakwood High School,Ohio,43759.4,2014,,
35,36,Westwood High School,Arizona,43726.7,2014,,
36,37,Fort Bend Clements High School,Texas,43614.6,2014,,
37,38,J. Frank Dobie High School,Texas,43596.5,2014,,
38,39,Lubbock High School,Texas,43512.6,2014,,
39,40,Bell High School,California,43425.3,2014,,
40,41,Garfield High School,California,43385,2014,,
41,42,Vanden High School,California,43164.8,2014,,
42,43,Arlington High School,Texas,42825.6,2014,,
43,44,Seven Lakes High School,Texas,42771.3,2014,,
44,45,Acalanes High School,California,42756.6,2014,,
45,46,Frisco Liberty High School,Texas,42683.7,2014,,
46,47,Red Mountain High School,Arizona,42499.3,2014,,
47,48,North Penn High School,Pennsylvania,42426,2014,,
48,49,Richard King High School,Texas,42392.1,2014,,
49,50,Olympian High School,California,42343.3,2014,,
50,51,Edgewood High School,California,42277.3,2014,,
51,52,James E. Taylor High School,Texas,42167.8,2014,,
52,53,South Torrance High School,California,42052.2,2014,,
53,54,West Torrance High School,California,42015.6,2014,,
54,55,Mount Michael High School,Nebraska,"41,943[2]",2014,,
55,56,Westlake High School,California,41936.1,2014,,
56,57,Bella Vista High School,California,41863.7,2014,,
57,58,Parsippany High School,New Jersey,41817.3,2014,,
58,59,Madison Academic High School,Tennessee,41781,2014,,
59,60,Elsinore High School,California,41616.5,2014,,
60,61,Lone Star High School,Texas,41425.1,2014,,
61,62,Burbank High School,California,41317.8,2014,,
62,63,Bishop Alemany High School,California,41294.5,2014,,
63,64,Richardson High School,Texas,41237.8,2014,,
64,65,Pleasant Grove High School,California,41230,2014,,
65,66,Martinsville High School,Indiana,41197,2014,,
66,67,Alhambra High School,California,41164.1,2014,,
67,68,Wilmot Union High School,Wisconsin,41110.6,2014,,
68,69,Van Nuys High School,California,41105.1,2014,,
69,70,J. J. Pearce High School,Texas,41028.7,2014,,
70,71,Folsom High School,California,40964.3,2014,,
71,72,El Rancho High School,California,40888,2014,,
72,73,West Valley High School,California,40861,2014,,
73,74,Montgomery High School,Texas,40848.1,2014,,
74,75,John Paul II High School,Texas,40843.5,2014,,
75,76,Willoughby South High School,Ohio,40582,2014,,
76,77,Cedar Rapids Jefferson High School,Iowa,40577.4,2014,,
77,78,Lubbock Monterey High School,Texas,40498.6,2014,,
78,79,Westminster High School,California,40400.3,2014,,
79,80,Waukesha West High School,Wisconsin,40368,2014,,
80,81,Hamilton High School,Arizona,40338.6,2014,,
81,82,Northwest Pennsylvania Collegiate Academy,Pennsylvania,40257.3,2014,,
82,83,Hemet High School,California,40251.3,2014,,
83,84,West Windsor-Plainsboro High School North,New Jersey,40237.7,2014,,
84,85,Plano East Senior High School,Texas,40225.6,2014,,
85,86,McDowell High School,Pennsylvania,40132.2,2014,,
86,87,West Ranch High School,California,40129,2014,,
87,88,Stephen F. Austin High School,Texas,40115.5,2014,,
88,89,Narbonne High School,California,40106.8,2014,,
89,90,Edward S. Marcus High School,Texas,39986,2014,,
90,91,Scarborough High School,Maine,39894,2014,,
91,92,Madison Central High School,Mississippi,39866.3,2014,,
92,93,Alice High School,Texas,39862.7,2014,,
